# Cross-dataset type aliases for MaleCNS v1.0 type names. Built by scripts/build_type_map_nern2025.py.
# system flywire_matsliah2024 / flywire_schlegel2024 / hemibrain: Sup_Table_7 of Nern A, Loesche F, Takemura S-y, et al. (2025) Connectome-driven neural inventory of a complete visual system. Nature 641, 1225-1237. doi:10.1038/s41586-025-08746-0 (CC BY 4.0) (preliminary male optic lobe -> female FlyWire matches;
#       Matsliah = FlyWire optic-lobe names (Matsliah et al. 2024), Schlegel = FlyWire whole-brain names (Schlegel et al. 2024), hemibrain = Scheffer et al. 2020 names).
# system malecns_flywireType / malecns_hemibrainType: the MaleCNS v1.0 per-cell annotation columns (CC BY, male-cns.janelia.org), majority value per type.
# tier: exact = alias identical to the MaleCNS name (1-to-1 / >=90% of annotated cells); alias = different name, 1-to-1 or >=90% of annotated cells;
#       fuzzy = n-to-1 / 1-to-n match, composite alias string, or majority < 90% (evidence gives the cardinality or the shares).
malecns_type,alias,system,tier,evidence
Dm10,Dm10,flywire_schlegel2024,exact,Sup_Table_7 row 141: matched as 1-to-1
Dm11,Dm11,flywire_matsliah2024,exact,Sup_Table_7 row 142: matched as 1-to-1
Dm11,Dm11,flywire_schlegel2024,exact,Sup_Table_7 row 142: matched as 1-to-1
Dm12,Dm12,flywire_matsliah2024,exact,Sup_Table_7 row 143: matched as 1-to-1
Dm12,Dm12,flywire_schlegel2024,exact,Sup_Table_7 row 143: matched as 1-to-1
Dm13,Dm13,flywire_matsliah2024,exact,Sup_Table_7 row 144: matched as 1-to-1
Dm13,Dm13,flywire_schlegel2024,exact,Sup_Table_7 row 144: matched as 1-to-1
Dm14,Dm14,flywire_matsliah2024,exact,Sup_Table_7 row 145: matched as 1-to-1
Dm14,Dm14,flywire_schlegel2024,exact,Sup_Table_7 row 145: matched as 1-to-1
Dm15,Dm15,flywire_matsliah2024,exact,Sup_Table_7 row 146: matched as 1-to-1
Dm15,Dm15,flywire_schlegel2024,exact,Sup_Table_7 row 146: matched as 1-to-1
Dm16,Dm16,flywire_matsliah2024,exact,Sup_Table_7 row 147: matched as 1-to-1
Dm16,CB3849,flywire_schlegel2024,alias,Sup_Table_7 row 147: matched as 1-to-1
Dm17,Dm17,flywire_matsliah2024,exact,Sup_Table_7 row 148: matched as 1-to-1
Dm17,Dm17,flywire_schlegel2024,exact,Sup_Table_7 row 148: matched as 1-to-1
Dm18,Dm18,flywire_matsliah2024,exact,Sup_Table_7 row 149: matched as 1-to-1
