# MaleCNS v1.0 cell-type aliases across connectomes. Built by scripts/build_type_map_typing.py from: MaleCNS v1.0 body-annotations (flywireType / hemibrainType / mancType / class; CC BY 4.0), Schlegel et al. 2024 Nature doi:10.1038/s41586-024-07686-5 Supplementary Data 1 and 5 (github.com/flyconnectome/flywire_annotations v3.1.0 (commit 8587524, 2026-07-21), 'matching MaleCNS v1.0'; plus the 2024 paper release of SD1 for the old optic names; CC BY 4.0), Nern et al. 2025 Nature doi:10.1038/s41586-025-08746-0 Supplementary Tables 1 and 7 (CC BY 4.0), the MaleCNS Cell Type Explorer synonyms (github.com/reiserlab/celltype-explorer-drosophila-male-cns, 2026-09-09), and Olivera 2026 Neuroinformatics doi:10.1007/s12021-026-09783-4. Tiers: exact | alias | fuzzy | class (rules in the script docstring and docs/audits/receptor_sources_typing.md). Systems: flywire, hemibrain, hemibrain_body, optic_inventory, manc, literature, malecns_class. flag: ';'-joined caveats -- unresolvable (name absent from the source), cb_placeholder, paper_release_only, unmatched, conflict_nern7_vs_malecns[_notation], minority_agreement, merged_list_only, name_only, v3_name_collision (definitions in the script docstring); empty = no caveat. Downstream joins that trust tier 'alias' should drop rows flagged unresolvable / unmatched / conflict_nern7_vs_malecns.
malecns_type,alias,system,tier,flag,evidence
AMMC031,CB3200,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3200' on 5/5 cells
AMMC032,CB2322,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2322' on 4/4 cells
AMMC033,CB3275a,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3275a' on 3/3 cells
AMMC034_a,CB2556,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2556' on 3/3 cells
AMMC034_b,CB2556,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2556' on 2/2 cells
AMMC035,CB1427,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB1427' on 10/10 cells
AMMC036,CB0957,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB0957' on 6/6 cells
AMMC037,CB3912,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3912' on 2/2 cells
AMMC038,CB1038b,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB1038b' on 2/2 cells
AN00A002,AN_GNG_133,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_133' on 1/1 cells
AN00A002,AN00A002,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN00A002' on 1/1 cells
AN00A006,AN_VES_GNG_4,flywire,alias,,"MaleCNS v1.0 body-annotations flywireType='AN_VES_GNG_4,AN_VES_GNG_6' on 2/5 cells; MaleCNS 1 : FlyWire 2 (merged types)"
AN00A006,AN_VES_GNG_6,flywire,alias,,"MaleCNS v1.0 body-annotations flywireType='AN_VES_GNG_4,AN_VES_GNG_6' on 2/5 cells; MaleCNS 1 : FlyWire 2 (merged types)"
AN00A006,AN00A006,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN00A006' on 5/5 cells
AN00A009,AN_GNG_35,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_35' on 1/1 cells
AN00A009,AN00A009,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN00A009' on 1/1 cells
AN01A006,AN_GNG_131,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_131' on 2/2 cells
AN01A006,AN01A006,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN01A006' on 2/2 cells
AN01A014,AN_GNG_113,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_113' on 2/2 cells
AN01A014,AN01A014,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN01A014' on 2/2 cells
AN01A021,AN01A021,flywire,exact,name_only,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType empty"
AN01A021,AN01A021,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN01A021' on 2/2 cells
AN01A033,AN_AVLP_26,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_AVLP_26' on 2/2 cells
AN01A033,AN01A033,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN01A033' on 2/2 cells
AN01A049,AN_GNG_SAD_7,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_SAD_7' on 2/2 cells
AN01A049,AN01A049,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN01A049' on 2/2 cells
AN01A055,AN_multi_106,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_multi_106' on 2/2 cells
AN01A055,AN01A055,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN01A055' on 2/2 cells
AN01A086,AN_AVLP_12,flywire,alias,,"MaleCNS v1.0 body-annotations flywireType='AN_AVLP_12,AN_AVLP_13' on 2/2 cells; MaleCNS 1 : FlyWire 2 (merged types)"
AN01A086,AN_AVLP_13,flywire,alias,,"MaleCNS v1.0 body-annotations flywireType='AN_AVLP_12,AN_AVLP_13' on 2/2 cells; MaleCNS 1 : FlyWire 2 (merged types)"
AN01A086,AN01A086,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN01A086' on 2/2 cells
AN01A089,AN_LH_AVLP_1,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_LH_AVLP_1' on 2/2 cells
AN01A089,AN01A089,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN01A089' on 2/2 cells
AN01B002,AN_GNG_26,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_26' on 2/6 cells
AN01B002,AN_GNG_29,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_29' on 2/6 cells
AN01B002,AN_GNG_5,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_5' on 2/6 cells
AN01B002,AN01B002,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN01B002' on 6/6 cells
AN01B004,AN_GNG_162,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_162' on 6/6 cells
AN01B004,AN01B004,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN01B004' on 6/6 cells
AN01B005,AN_GNG_SAD_33,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_SAD_33' on 6/6 cells
AN01B005,AN01B005,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN01B005' on 6/6 cells
AN01B011,AN_GNG_VES_11,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_VES_11' on 2/6 cells
AN01B011,AN_GNG_VES_7,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_VES_7' on 4/6 cells
AN01B011,AN01B011,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN01B011' on 6/6 cells
AN01B014,AN_AVLP_GNG_2,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_AVLP_GNG_2' on 2/2 cells
AN01B014,AN01B014,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN01B014' on 2/2 cells
AN01B018,AN_GNG_100,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_100' on 2/2 cells
AN01B018,AN01B018,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN01B018' on 2/2 cells
AN02A001,AN_multi_8,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_multi_8' on 2/2 cells
AN02A001,AN02A001,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN02A001' on 2/2 cells
AN02A002,AN_multi_12,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_multi_12' on 2/2 cells
AN02A002,AN02A002,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN02A002' on 2/2 cells
AN02A005,AN02A005,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN02A005' on 2/2 cells
AN02A009,AN_GNG_IPS_8,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_IPS_8' on 2/2 cells
AN02A009,AN02A009,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN02A009' on 2/2 cells
AN02A016,AN_GNG_56,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_56' on 2/2 cells
AN02A016,AN02A016,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN02A016' on 2/2 cells
AN02A017,AN02A017,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN02A017' on 2/2 cells
AN02A022,AN_IPS_GNG_2,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_IPS_GNG_2' on 2/2 cells
AN02A022,AN02A022,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN02A022' on 2/2 cells
AN02A025,AN_multi_48,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_multi_48' on 2/2 cells
AN02A025,AN02A025,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN02A025' on 2/2 cells
AN02A046,AN_GNG_82,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_82' on 2/2 cells
AN02A046,AN02A046,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN02A046' on 2/2 cells
AN03A002,AN_GNG_199,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_199' on 2/2 cells
AN03A002,Chen 2023: SS42740,literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
AN03A002,AN03A002,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN03A002' on 2/2 cells
AN03A008,Cachero 2010: vPr-j,literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
AN03A008,AN03A008,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN03A008' on 2/2 cells
AN03B009,AN_GNG_12,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_12' on 2/2 cells
AN03B009,AN03B009,manc,exact,,MaleCNS v1.0 body-annotations mancType='AN03B009' on 2/2 cells
AN03B011,AN_GNG_181,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='AN_GNG_181' on 4/4 cells
