arm,key,seeds,files,run_ids,values,mean,sd,n
V-,ER6_mean_pre,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","23.7748,25.5536,23.3792,27.4446,26.0716,24.4437",25.11123243967692,1.5358610770719494,6
V-,ER6_mean_during,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","52.3325,52.9797,53.0667,51.2811,49.7822,51.9309",51.89552879333496,1.2315088883677103,6
V-,ER6_mean_post,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","23.2968,23.1754,24.2496,23.6862,23.7871,24.1965",23.731938044230144,0.4445209382019974,6
V-,ER4m_mean_pre,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","2.5101,2.7512,2.3310,3.6510,3.1330,2.3862",2.793740709622701,0.5123410432446291,6
V-,ER4m_mean_during,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","11.8569,12.3013,12.7174,11.1946,10.8904,11.5263",11.747798283894857,0.6853893072071211,6
V-,ER4m_mean_post,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","2.4346,2.7173,2.8276,2.5951,2.9234,2.9356",2.7389516035715737,0.19717076611914472,6
V,survival_s,"0,1,2,3,4,5","V_s0.json,V_s1.json,V_s2.json,V_s3.json,V_s4.json,V_s5.json","V_s0.json#0,V_s1.json#0,V_s2.json#0,V_s3.json#0,V_s4.json#0,V_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
V,bump_hz_post,"0,1,2,3,4,5","V_s0.json,V_s1.json,V_s2.json,V_s3.json,V_s4.json,V_s5.json","V_s0.json#0,V_s1.json#0,V_s2.json#0,V_s3.json#0,V_s4.json#0,V_s5.json#0","nan,nan,nan,nan,nan,nan",,,0
V,width_half_post,"0,1,2,3,4,5","V_s0.json,V_s1.json,V_s2.json,V_s3.json,V_s4.json,V_s5.json","V_s0.json#0,V_s1.json#0,V_s2.json#0,V_s3.json#0,V_s4.json#0,V_s5.json#0","nan,nan,nan,nan,nan,nan",,,0
V,frac_confined_post,"0,1,2,3,4,5","V_s0.json,V_s1.json,V_s2.json,V_s3.json,V_s4.json,V_s5.json","V_s0.json#0,V_s1.json#0,V_s2.json#0,V_s3.json#0,V_s4.json#0,V_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
